Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0469,14,0.64,0.07,0.07,0.79,0.21,24,0.38,0.62,0.08,0.12,0.43,0.01
kaneko,0470,19,0.68,0.16,0.05,0.89,0.11,74,0.18,0.82,0.05,0.08,0.69,0.05
kaneko,0471,14,0.71,0.07,0.07,0.86,0.14,37,0.27,0.73,0.05,0.10,0.58,0.04
kaneko,0472,16,0.56,0.19,0.12,0.88,0.12,35,0.29,0.71,0.14,0.07,0.50,0.04
kaneko,0473,15,0.67,0.13,0.20,1.00,0.00,47,0.21,0.79,0.13,0.00,0.66,0.02
kaneko,0474,15,0.67,0.00,0.13,0.80,0.20,50,0.20,0.80,0.04,0.15,0.61,0.09
kaneko,0475,17,0.59,0.18,0.00,0.76,0.24,42,0.26,0.74,0.12,0.15,0.47,0.12
kaneko,0476,18,0.56,0.17,0.06,0.78,0.22,31,0.35,0.65,0.16,0.11,0.38,0.04
kaneko,0477,16,0.44,0.19,0.00,0.62,0.38,47,0.17,0.83,0.09,0.28,0.47,0.19
kaneko,0478,17,0.71,0.24,0.00,0.94,0.06,32,0.38,0.62,0.12,0.03,0.47,0.00
kaneko,0479,15,0.53,0.27,0.00,0.80,0.20,29,0.28,0.72,0.14,0.12,0.47,0.01
kaneko,0480,16,0.50,0.25,0.06,0.81,0.19,36,0.22,0.78,0.14,0.12,0.52,0.04
kaneko,0481,15,0.53,0.27,0.07,0.87,0.13,34,0.24,0.76,0.15,0.08,0.54,0.02
kaneko,0482,14,0.43,0.14,0.21,0.79,0.21,35,0.17,0.83,0.17,0.14,0.52,0.08
kaneko,0483,20,0.60,0.05,0.00,0.65,0.35,72,0.17,0.83,0.01,0.29,0.53,0.19
kaneko,0484,17,0.59,0.18,0.12,0.88,0.12,33,0.30,0.70,0.15,0.06,0.48,0.00
kaneko,0485,16,0.62,0.12,0.00,0.75,0.25,34,0.29,0.71,0.06,0.16,0.49,0.04
kaneko,0486,18,0.61,0.11,0.06,0.78,0.22,38,0.32,0.68,0.11,0.13,0.45,0.08
kaneko,0487,15,0.67,0.20,0.07,0.93,0.07,40,0.28,0.72,0.10,0.04,0.58,0.04
kaneko,0488,16,0.50,0.19,0.19,0.88,0.12,32,0.28,0.72,0.19,0.07,0.46,0.04
kaneko,0489,17,0.65,0.29,0.06,1.00,0.00,51,0.22,0.78,0.12,0.00,0.67,0.00
kaneko,0490,21,0.57,0.10,0.10,0.76,0.24,42,0.29,0.71,0.10,0.15,0.47,0.03
kaneko,0491,13,0.54,0.23,0.08,0.85,0.15,70,0.11,0.89,0.07,0.13,0.69,0.13
kaneko,0492,15,0.60,0.27,0.00,0.87,0.13,49,0.18,0.82,0.10,0.10,0.62,0.07
kaneko,0493,21,0.57,0.19,0.10,0.86,0.14,55,0.22,0.78,0.11,0.10,0.58,0.04
kaneko,0494,18,0.72,0.17,0.00,0.89,0.11,43,0.28,0.72,0.09,0.07,0.56,0.02
kaneko,0495,13,0.69,0.08,0.15,0.92,0.08,28,0.32,0.68,0.11,0.04,0.53,0.01
kaneko,0496,15,0.87,0.07,0.00,0.93,0.07,43,0.30,0.70,0.05,0.04,0.61,0.04
kaneko,0497,19,0.63,0.00,0.11,0.74,0.26,54,0.22,0.78,0.04,0.19,0.55,0.10
kaneko,0498,20,0.45,0.10,0.20,0.75,0.25,38,0.26,0.74,0.16,0.14,0.43,0.04
kaneko,0499,13,0.23,0.15,0.08,0.46,0.54,37,0.08,0.92,0.08,0.45,0.39,0.26
kaneko,0500,17,0.53,0.18,0.18,0.88,0.12,68,0.13,0.87,0.09,0.09,0.69,0.06
kaneko,0501,18,0.50,0.22,0.28,1.00,0.00,46,0.20,0.80,0.20,0.00,0.61,0.00
kaneko,0502,18,0.72,0.00,0.06,0.78,0.22,69,0.19,0.81,0.01,0.18,0.62,0.12
kaneko,0503,18,0.39,0.11,0.17,0.67,0.33,60,0.12,0.88,0.08,0.27,0.53,0.17
kaneko,0504,17,0.65,0.18,0.06,0.88,0.12,45,0.24,0.76,0.09,0.08,0.59,0.03
kaneko,0505,15,0.33,0.20,0.07,0.60,0.40,35,0.14,0.86,0.14,0.29,0.43,0.14
kaneko,0506,15,0.53,0.00,0.13,0.67,0.33,29,0.28,0.72,0.07,0.22,0.44,0.05
kaneko,0507,17,0.47,0.35,0.06,0.88,0.12,72,0.11,0.89,0.10,0.09,0.70,0.07
kaneko,0508,14,0.36,0.14,0.21,0.71,0.29,40,0.12,0.88,0.17,0.20,0.50,0.15
kaneko,0509,16,0.56,0.31,0.06,0.94,0.06,44,0.23,0.77,0.14,0.04,0.60,0.04
kaneko,0510,17,0.65,0.18,0.06,0.88,0.12,62,0.18,0.82,0.06,0.09,0.67,0.06
kaneko,0511,15,0.47,0.40,0.07,0.93,0.07,46,0.15,0.85,0.15,0.05,0.65,0.02
kaneko,0512,21,0.52,0.19,0.00,0.71,0.29,58,0.21,0.79,0.07,0.21,0.52,0.12
kaneko,0513,15,0.67,0.20,0.00,0.87,0.13,36,0.28,0.72,0.08,0.09,0.55,0.03
kaneko,0514,16,0.50,0.12,0.19,0.81,0.19,35,0.23,0.77,0.14,0.12,0.51,0.03
kaneko,0515,14,0.71,0.07,0.07,0.86,0.14,40,0.25,0.75,0.05,0.10,0.60,0.05
kaneko,0516,17,0.59,0.12,0.18,0.88,0.12,65,0.17,0.83,0.11,0.09,0.64,0.10
kaneko,0517,15,0.60,0.13,0.07,0.80,0.20,31,0.29,0.71,0.10,0.12,0.49,0.03
kaneko,0518,16,0.38,0.25,0.06,0.69,0.31,55,0.11,0.89,0.09,0.25,0.55,0.16
kaneko,0519,15,0.53,0.20,0.13,0.87,0.13,37,0.22,0.78,0.16,0.08,0.54,0.06
kaneko,0520,20,0.30,0.15,0.10,0.55,0.45,28,0.21,0.79,0.21,0.26,0.31,0.03
kaneko,0521,16,0.44,0.06,0.12,0.62,0.38,27,0.26,0.74,0.11,0.24,0.39,0.01
kaneko,0522,16,0.75,0.19,0.00,0.94,0.06,50,0.26,0.74,0.06,0.04,0.64,0.04
kaneko,0523,19,0.47,0.32,0.05,0.84,0.16,34,0.26,0.74,0.18,0.09,0.47,0.03
kaneko,0524,14,0.57,0.21,0.07,0.86,0.14,44,0.18,0.82,0.09,0.10,0.62,0.06
kaneko,0525,20,0.80,0.00,0.10,0.90,0.10,43,0.40,0.60,0.05,0.06,0.50,0.03
kaneko,0526,15,0.60,0.13,0.07,0.80,0.20,45,0.20,0.80,0.07,0.15,0.59,0.08
kaneko,0527,15,0.53,0.20,0.13,0.87,0.13,38,0.21,0.79,0.13,0.09,0.57,0.04
kaneko,0528,20,0.55,0.20,0.10,0.85,0.15,51,0.22,0.78,0.12,0.10,0.57,0.04
kaneko,0529,19,0.63,0.26,0.11,1.00,0.00,41,0.29,0.71,0.17,0.00,0.54,0.00
kaneko,0530,16,0.56,0.19,0.12,0.88,0.12,53,0.17,0.83,0.09,0.09,0.64,0.05
kaneko,0531,18,0.61,0.22,0.06,0.89,0.11,76,0.14,0.86,0.07,0.09,0.70,0.06
kaneko,0532,18,0.67,0.11,0.06,0.83,0.17,62,0.21,0.79,0.05,0.12,0.62,0.09
kaneko,0533,17,0.71,0.06,0.06,0.82,0.18,26,0.46,0.54,0.08,0.08,0.38,0.03
