Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
kaneko,0006,18,42,15,3,11,0,4,0.6428571428571428,0.16666666666666666,10,8,8,0,2,0.7619047619047619,0.4444444444444444
katagiri,0006,18,38,17,1,12,0,5,0.5526315789473684,0.05555555555555555,14,4,12,0,2,0.631578947368421,0.2222222222222222
kojimaarai,0006,18,31,15,3,11,0,4,0.5161290322580645,0.16666666666666666,13,5,10,0,3,0.5806451612903225,0.2777777777777778
komachiya,0006,18,28,16,2,13,0,3,0.4285714285714286,0.1111111111111111,13,5,12,0,1,0.5357142857142857,0.2777777777777778
kubota,0006,18,32,15,3,12,0,3,0.53125,0.16666666666666666,11,7,10,0,1,0.65625,0.3888888888888889
kyusojin,0006,18,36,16,2,12,0,4,0.5555555555555556,0.1111111111111111,9,9,8,0,1,0.75,0.5
matsuda,0006,18,43,17,1,11,0,6,0.6046511627906976,0.05555555555555555,13,5,10,0,3,0.6976744186046512,0.2777777777777778
okumura,0006,18,27,15,3,12,0,3,0.4444444444444444,0.16666666666666666,12,6,8,0,4,0.5555555555555556,0.3333333333333333
ozawa,0006,18,39,16,2,9,1,6,0.5897435897435898,0.1111111111111111,11,7,7,1,3,0.717948717948718,0.3888888888888889
takeoka,0006,18,29,17,1,14,0,3,0.4137931034482759,0.05555555555555555,15,3,13,0,2,0.48275862068965514,0.16666666666666666
kaneko,0007,18,38,13,5,6,3,4,0.6578947368421053,0.2777777777777778,10,8,6,2,2,0.736842105263158,0.4444444444444444
katagiri,0007,18,45,14,4,7,3,4,0.6888888888888889,0.2222222222222222,10,8,6,1,3,0.7777777777777778,0.4444444444444444
kojimaarai,0007,18,30,15,3,8,2,5,0.5,0.16666666666666666,13,5,8,0,5,0.5666666666666667,0.2777777777777778
komachiya,0007,18,25,12,6,5,2,5,0.52,0.3333333333333333,10,8,5,1,4,0.6,0.4444444444444444
kubota,0007,18,30,15,3,8,2,5,0.5,0.16666666666666666,8,10,6,0,2,0.7333333333333334,0.5555555555555556
kyusojin,0007,18,30,14,4,8,2,4,0.5333333333333333,0.2222222222222222,10,8,7,1,2,0.6666666666666667,0.4444444444444444
matsuda,0007,18,32,14,4,6,4,4,0.5625,0.2222222222222222,10,8,6,2,2,0.6875,0.4444444444444444
okumura,0007,18,29,12,6,6,2,4,0.5862068965517242,0.3333333333333333,10,8,5,0,5,0.6551724137931034,0.4444444444444444
ozawa,0007,18,37,15,3,8,3,4,0.5945945945945945,0.16666666666666666,12,6,7,2,3,0.6756756756756757,0.3333333333333333
takeoka,0007,18,40,15,3,7,3,5,0.625,0.16666666666666666,12,6,7,2,3,0.7,0.3333333333333333
kaneko,0008,17,36,14,3,6,1,7,0.6111111111111112,0.17647058823529413,8,9,4,0,4,0.7777777777777778,0.5294117647058824
katagiri,0008,17,70,12,5,4,1,7,0.8285714285714285,0.29411764705882354,8,9,2,0,6,0.8857142857142857,0.5294117647058824
