: | 
01:000108 | 花のちることやわひしき春霞立田の山の鴬のこゑ
01:000311:0002 A00 BG-01-1613-01-0200 28 こと 毎 ごと 毎 ごと 
01:000311:0003 A00 BG-08-0061-05-0100 61 に に に に に 
01:000311:0004 B00 BG-01-5530-10-0305 02 紅葉は 紅葉葉 もみぢば 紅葉葉 もみぢば 
01:000311:0004 C00 BG-01-5530-10-0300 02 紅葉 紅葉 もみじ 紅葉 もみじ 
01:000311:0004 C01 BG-01-5530-09-0100 02 葉 葉 は 葉 は 
01:000311:0005 A00 BG-02-1523-06-0200 47 なかす 流す ながす 流す ながす 
01:000311:0006 D00 CH-29-5250-01-0400 11 龍田川 龍田川 たつたがは 龍田川 たつたがは 
01:000311:0006 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000311:0006 E01 BG-08-0071-01-0100 71 の の の の の 
01:000311:0006 E02 BG-01-5250-01-0102 02 川 川 かは 川 かは 
01:000311:0007 A00 BG-01-4720-06-0101 02 みなと 湊 みなと 湊 みなと 
01:000311:0008 A00 BG-08-0065-14-0100 65 や や や や や 
01:000311:0009 A00 BG-01-1624-04-0100 02 秋 秋 あき 秋 あき 
01:000311:0010 A00 BG-08-0061-07-0100 61 の の の の の 
01:000311:0011 A00 BG-02-3330-09-0100 47 とまり 泊る とまる 泊り とまり 
01:000311:0012 A00 BG-09-0010-02-0700 74 成 なり なり なる なる 
01:000311:0012 A10 BG-09-0050-01-0100 74 成 なり なり なる なる 
01:000311:0013 A00 BG-09-0010-02-0103 74 らん らむ らむ らむ らむ 
01:000314 | 龍田川錦をりかく神無月しくれの雨をたてぬきにして
01:000314:0001 D00 CH-29-5250-01-0400 11 龍田川 龍田川 たつたがは 龍田川 たつたがは 
01:000314:0001 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000314:0001 E01 BG-08-0071-01-0100 71 の の の の の 
01:000314:0001 E02 BG-01-5250-01-0102 02 川 川 かは 川 かは 
01:000314:0002 A00 BG-01-4201-03-0100 02 錦 錦 にしき 錦 にしき 
01:000314:0003 A00 BG-02-1570-01-0100 47 をり 折る をる 折り をり 
01:000314:0004 A00 BG-02-1515-07-0206 47 かく 懸く かく 懸く かく 
01:000314:0005 A00 BG-01-1632-01-1204 02 神無月 神無月 かみなづき 神無月 かみなづき 
01:000314:0006 A00 BG-02-5150-03-0700 47 しくれ 時雨る しぐる 時雨れ しぐれ 
01:000314:0007 A00 BG-08-0061-07-0100 61 の の の の の 
01:000314:0008 A00 BG-01-5153-01-0100 02 雨 雨 あめ 雨 あめ 
01:000314:0009 A00 BG-08-0061-10-0100 61 を を を を を 
01:000314:0010 A00 BG-01-1520-01-0700 02 たてぬき 経緯 たてぬき 経緯 たてぬき 
01:000314:0011 A00 BG-08-0061-05-0100 61 に に に に に 
01:000314:0012 A00 BG-02-3420-01-0100 47 し す す し し 
01:000314:0013 A00 BG-08-0064-16-0100 64 て て て て て 
01:000629 | あやなくてまたきなき名の立田河わたらてやまん物ならなくに
